t,distance,v_raw,a_raw,dt,velocity_raw,acceleration_raw,distance_f,velocity_f,acceleration_f
6.192,9,-15.930358160203578,-253.77631111236477,0.06300000000000061,-15.873015873015719,-251.95263290500895,9.428571428571429,-2.2675736961450945,37.154305313182796
6.254,9,0.0,255.41967366769563,0.06199999999999939,0.0,256.01638504864314,9.285714285714286,-2.3041474654378025,-0.5898995047211018
6.316,9,0.0,0.0,0.06200000000000028,0.0,0.0,9.0,-4.608294930875568,-37.163668797383146
6.378,9,0.0,0.0,0.06200000000000028,0.0,0.0,8.714285714285714,-4.608294930875568,0.0
6.438,9,0.0,0.0,0.05999999999999961,0.0,0.0,8.428571428571429,-4.761904761904776,-2.5601638504868243
6.499,8,-16.55060511476859,-273.92252966500416,0.06099999999999994,-16.393442622950836,-268.7449610319812,8.285714285714286,-2.3419203747072537,39.67187519995942
6.559,8,0.0,274.9968080056663,0.0600000000000005,0.0,273.224043715845,8.0,-4.761904761904735,-40.33307311995769
6.62,7,-16.43561811313657,-270.1295427608629,0.06099999999999994,-16.393442622950836,-268.7449610319812,7.714285714285714,-4.683840749414522,1.2797379096756205
6.68,8,16.49878254575779,543.3775147459602,0.05999999999999961,16.666666666666774,551.0018214936305,7.285714285714286,-7.142857142857194,-40.983606557378124
6.743,7,-16.0091605151263,-520.4248784782795,0.06300000000000061,-15.873015873015719,-516.5028974552727,7.142857142857143,-2.2675736961450945,77.38545153511194
6.803,7,0.0,266.4426816971926,0.05999999999999961,0.0,264.5502645502637,6.857142857142857,-4.761904761904805,-41.572184429328786
6.865,6,-16.1207779229764,-259.87948084192334,0.06200000000000028,-16.129032258064445,-260.14568158168345,6.714285714285714,-2.3041474654377696,39.64124671721008
6.927,7,16.238047858893307,525.444161703591,0.06199999999999939,16.129032258064676,520.2913631633782,6.428571428571429,-4.608294930875619,-37.163668797385036
6.988,6,-16.254787141279284,-528.1641165445149,0.06100000000000083,-16.393442622950595,-533.1553259182758,6.285714285714286,-2.341920374707234,37.15368124866154
7.05,6,0.0,262.0136304536262,0.06199999999999939,0.0,264.41036488630255,6.142857142857143,-2.3041474654378025,0.6092404720876134
7.112,6,0.0,0.0,0.06200000000000028,0.0,0.0,6.142857142857143,0.0,37.16366879738374
7.175,6,0.0,0.0,0.06299999999999972,0.0,0.0,6.0,-2.2675736961451407,-35.99323327214525
7.237,6,0.0,0.0,0.06200000000000028,0.0,0.0,6.0,0.0,36.5737692926634
7.299,6,0.0,0.0,0.06200000000000028,0.0,0.0,6.0,0.0,0.0
7.362,6,0.0,0.0,0.06299999999999972,0.0,0.0,6.0,0.0,0.0
7.424,6,0.0,0.0,0.06200000000000028,0.0,0.0,6.0,0.0,0.0
7.485,6,0.0,0.0,0.06099999999999994,0.0,0.0,6.0,0.0,0.0
7.546,6,0.0,0.0,0.06099999999999994,0.0,0.0,6.0,0.0,0.0
7.605,6,0.0,0.0,0.05900000000000016,0.0,0.0,6.142857142857143,2.4213075060532687,41.03911027208919
7.667,6,0.0,0.0,0.06199999999999939,0.0,0.0,6.285714285714286,2.3041474654378025,-1.8896780744430228
7.726,6,0.0,0.0,0.05900000000000016,0.0,0.0,6.428571428571429,2.4213075060532687,1.9857634002621345
7.785,7,17.01867698912166,289.63536646005906,0.05900000000000016,16.949152542372833,287.27377190462346,6.571428571428571,2.4213075060532536,-2.559158158457981e-13
7.846,7,0.0,-276.2292482999409,0.06099999999999994,0.0,-277.8549597110303,6.714285714285714,2.3419203747072683,-1.3014283827210715
7.907,7,0.0,0.0,0.06099999999999994,0.0,0.0,6.714285714285714,0.0,-38.392137290283124
7.967,7,0.0,0.0,0.05999999999999961,0.0,0.0,6.714285714285714,0.0,0.0
8.028,7,0.0,0.0,0.06100000000000083,0.0,0.0,6.714285714285714,0.0,0.0
8.09,6,-16.215698782557595,-262.9488870066399,0.06199999999999939,-16.129032258064676,-260.1456815816909,6.714285714285714,0.0,0.0
8.151,6,0.0,263.3755305821624,0.06099999999999994,0.0,264.4103648863064,6.714285714285714,0.0,0.0
8.213,7,16.11823795927308,259.7975949117516,0.06199999999999939,16.129032258064676,260.1456815816909,6.857142857142857,2.3041474654378025,37.163668797384275
8.273,7,0.0,-268.850150304944,0.0600000000000005,0.0,-268.8172043010757,6.857142857142857,0.0,-38.40245775729639
8.335,7,0.0,0.0,0.062000000000001165,0.0,0.0,7.0,2.304147465437751,37.16366879738238
8.398,8,15.9719730087889,255.1039217934811,0.06299999999999883,15.873015873016167,251.95263290502317,7.142857142857143,2.2675736961451727,-0.5805360205171262
8.458,7,-16.64340303956192,-542.8308488595771,0.0600000000000005,-16.66666666666653,-542.3280423280404,7.142857142857143,0.0,-37.792894935752564
8.519,7,0.0,273.7924497183799,0.06099999999999994,0.0,273.22404371584497,7.142857142857143,0.0,0.0
8.581,7,0.0,0.0,0.06199999999999939,0.0,0.0,7.142857142857143,0.0,0.0
8.642,7,0.0,0.0,0.06099999999999994,0.0,0.0,7.142857142857143,0.0,0.0
8.704,7,0.0,0.0,0.062000000000001165,0.0,0.0,7.285714285714286,2.3041474654377367,37.16366879738215
8.766,7,0.0,0.0,0.06199999999999939,0.0,0.0,7.285714285714286,0.0,-37.16366879738322
8.824,8,16.96004528820687,287.64313617802804,0.05799999999999983,17.24137931034488,297.26516052318846,7.428571428571429,2.463054187192132,42.46645150331275
8.886,8,0.0,-275.2073111749738,0.06199999999999939,0.0,-278.0867630700814,7.571428571428571,2.3041474654378025,-2.5630116411988904
8.946,7,-16.714303362144886,-279.36793688180785,0.0600000000000005,-16.66666666666653,-277.77777777777317,7.857142857142857,4.76190476190472,40.96262160778162
9.005,8,16.93457204342753,569.8293047359828,0.05900000000000105,16.94915254237258,569.7596476108222,8.142857142857142,4.842615012106449,1.3679703424021536
9.066,8,0.0,-278.8349543446743,0.06099999999999994,0.0,-277.85495971102614,8.428571428571429,4.683840749414537,-2.6028567654411825
9.128,9,15.966865635278351,254.9407982150328,0.06199999999999939,16.129032258064676,260.1456815816909,8.714285714285714,4.608294930875605,-1.21848094417633
9.19,9,0.0,-257.021919633063,0.06199999999999939,0.0,-260.1456815816909,9.142857142857142,6.912442396313437,37.16366879738475
9.252,10,16.186911703979284,262.0161105124215,0.062000000000001165,16.129032258064214,260.145681581676,9.571428571428571,6.912442396313239,-3.194577219243939e-12
9.313,10,0.0,-264.3739963538513,0.06099999999999994,0.0,-264.41036488629885,10.142857142857142,9.367681498829045,40.24982135271817
9.376,10,0.0,0.0,0.06299999999999883,0.0,0.0,10.571428571428571,6.802721088435504,-40.71365730783473
9.436,11,16.764340986122658,281.043128698992,0.0600000000000005,16.66666666666653,277.77777777777317,11.142857142857142,9.52380952380944,45.351473922898556
9.495,12,16.840130728401306,1.276309167844272,0.058999999999999275,16.94915254237309,4.787896198416315,11.571428571428571,7.2639225181599,-38.30316958728081
9.556,12,0.0,-276.1449352166756,0.06099999999999994,0.0,-277.8549597110345,12.142857142857142,9.367681498829045,34.48785214211716
9.616,13,16.60006015799389,275.56199724901614,0.0600000000000005,16.66666666666653,277.77777777777317,12.714285714285714,9.52380952380944,2.6021337496732344
9.677,13,0.0,-273.38073346152254,0.06099999999999994,0.0,-273.22404371584497,13.285714285714286,9.367681498829073,-2.55947581935028
9.737,14,16.522570148865682,272.9953243241873,0.0600000000000005,16.66666666666653,277.77777777777317,13.714285714285714,7.142857142857058,-37.08040593286661
9.798,14,0.0,-272.71815098782787,0.06099999999999994,0.0,-273.22404371584497,14.142857142857142,7.02576112412179,-1.919606864512586
9.858,15,16.55687707982173,274.1301786363262,0.0600000000000005,16.66666666666653,277.77777777777317,14.428571428571429,4.761904761904735,-37.73093937028394
9.922,15,0.0,-261.2810194834344,0.06400000000000006,0.0,-260.4166666666643,14.857142857142858,6.696428571428569,30.22693452380988
10.008,15,0.0,0.0,0.08599999999999852,0.0,0.0,15.142857142857142,3.32225913621267,-39.23452831646462
10.069,15,0.0,0.0,0.06100000000000172,0.0,0.0,15.428571428571429,4.683840749414401,22.321010052486763
10.129,16,16.61801541234969,276.1584362450918,0.05999999999999872,16.666666666667023,277.77777777778965,15.714285714285714,4.761904761904846,1.3010668748407856
10.189,16,0.0,-275.9758337203536,0.0600000000000005,0.0,-277.7777777777814,16.0,4.761904761904735,-1.850371707708579e-12
10.25,16,0.0,0.0,0.06099999999999994,0.0,0.0,16.285714285714285,4.683840749414507,-1.279737909675868
10.311,17,16.588964431629865,275.1937409138808,0.06099999999999994,16.393442622950836,268.7449610319812,16.571428571428573,4.683840749414566,9.609799295116119e-13
10.373,17,0.0,-266.19415755090336,0.06199999999999939,0.0,-264.4103648863064,16.571428571428573,0.0,-75.54581853894535
10.432,17,0.0,0.0,0.05900000000000105,0.0,0.0,16.571428571428573,0.0,0.0
10.492,17,0.0,0.0,0.0600000000000005,0.0,0.0,16.714285714285715,2.380952380952353,39.68253968253889
10.554,16,-16.182352714225086,-261.868539367588,0.06199999999999939,-16.129032258064676,-260.1456815816909,16.571428571428573,-2.3041474654378025,-75.56612655468066
